db_name,table_name,location
auth,client_user_mapping,s3://kcd-de-production/raw/db/auth/snapshot/client_user_mapping
bi,bluebird_answers,s3://kcd-de-production/service/bi/bluebird_answers
bi,cashnote_active_user,s3://kcd-de-production/service/bi/cashnote_active_user
bi,cashnote_business,s3://kcd-de-production/service/bi/cashnote_business
bi,cashnote_linking,s3://kcd-de-production/service/bi/cashnote_linking
bi,cashnote_user_platform,s3://kcd-de-production/service/bi/cashnote_user_platform
bi,uds_club,s3://kcd-de-production/service/bi/uds_club
bluebird,acceptanced_business_template_answers,s3://kcd-de-production/raw/db/bluebird/snapshot/acceptanced_business_template_answers
bluebird,acceptanced_business_templates,s3://kcd-de-production/raw/db/bluebird/snapshot/acceptanced_business_templates
bluebird,business_events,s3://kcd-de-production/raw/db/bluebird/snapshot/business_events
bluebird,finance_products,s3://kcd-de-production/raw/db/bluebird/snapshot/finance_products
bluebird,kakao_message_groups,s3://kcd-de-production/raw/db/bluebird/snapshot/kakao_message_groups
bluebird,kakao_messages,s3://kcd-de-production/raw/db/bluebird/snapshot/kakao_messages
bluebird,survey_monkey_responses,s3://kcd-de-production/raw/db/bluebird/snapshot/survey_monkey_responses
catalog_production_dmp_message_result,tb_dmp_message_click,s3://kcd-de-production/raw/catalog_v2/raw/tb=dmp_message_click
catalog_production_dmp_message_result,tb_dmp_message_result_stat,s3://kcd-de-production/raw/catalog_v2/raw/tb=dmp_message_result_stat
catalog_production_harrier,tb_harrier_documents_requests,s3://kcd-de-production/raw/catalog_v2/raw/tb=harrier_documents_requests
catalog_production_kcd,tb_kcd_ab_paynote_recommend,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_ab_paynote_recommend
catalog_production_kcd,tb_kcd_bluebird_ruby,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_bluebird_ruby
catalog_production_kcd,tb_kcd_bluebird_web,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_bluebird_web
catalog_production_kcd,tb_kcd_cashnote_ruby,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_cashnote_ruby
catalog_production_kcd,tb_kcd_cashnote_web,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_cashnote_web
catalog_production_kcd,tb_kcd_goose_ruby,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_goose_ruby
catalog_production_kcd,tb_kcd_kingfisher_web,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_kingfisher_web
catalog_production_kcd,tb_kcd_map_cashnote_web,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_map_cashnote_web
catalog_production_kcd,tb_kcd_redbird_ruby,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_redbird_ruby
catalog_production_kcd,tb_kcd_redbird_web,s3://kcd-de-production/raw/catalog_v2/raw/tb=kcd_redbird_web
catalog_production_paygcrew,part_00098_1e6e58e9_2dd1_45a1_abcc_12fe4e5d7916_c000_snappy_parquet,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_Bill/created_at_date=2021-02-02/part-00098-1e6e58e9-2dd1-45a1-abcc-12fe4e5d7916.c000.snappy.parquet
catalog_production_paygcrew,part_00160_1e6e58e9_2dd1_45a1_abcc_12fe4e5d7916_c000_snappy_parquet,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_Bill/created_at_date=2021-02-02/part-00160-1e6e58e9-2dd1-45a1-abcc-12fe4e5d7916.c000.snappy.parquet
catalog_production_paygcrew,tb_paygcrew_bill,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_Bill
catalog_production_paygcrew,tb_paygcrew_bill_270314f14dc20e908f44770532095ce3,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_bill
catalog_production_paygcrew,tb_paygcrew_bill_test,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_bill_test
catalog_production_paygcrew,tb_paygcrew_error,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_error
catalog_production_paygcrew,tb_paygcrew_menuinfo,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_MenuInfo
catalog_production_paygcrew,tb_paygcrew_menuinfo_test,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_menuinfo_test
catalog_production_paygcrew,tb_paygcrew_receipt,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_Receipt
catalog_production_paygcrew,tb_paygcrew_table,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_Table
catalog_production_paygcrew,tb_paygcrew_table_test,s3://kcd-de-production/raw/catalog_v2/raw/tb=paygcrew_table_test
catalog_staging_dmp_message_result,tb_dmp_message_result_stat,s3://kcd-de-staging/raw/catalog_v2/raw/tb=dmp_message_result_stat
catalog_staging_harrier,tb_harrier_documents_requests,s3://kcd-de-staging/raw/catalog_v2/raw/tb=harrier_documents_requests
catalog_staging_kcd,tb_kcd_ab_paynote_recommend,s3://kcd-de-staging/raw/catalog_v2/raw/tb=kcd_ab_paynote_recommend
